Product Name,Category,Total Qty,Wishlists,Buy Price,Sell Price,URL,Barcode,Manufacturer SKU,ASIN,MSRP,Brand,Weight,Description,Max Qty,Domestic Only,Tax Exempt
Chart a Course - Foil,Ixalan,0,0,0.00,4.99,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/chart_a_course__foil/1534513,,,B075QLJ2D9,0.00,"",0.005,"",4,,false
Commune with Dinosaurs - Foil,Ixalan,3,0,0.00,1.49,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/commune_with_dinosaurs__foil/1534523,,,B075QLZ8LT,0.00,"",0.005,"",4,,false
Bishop of the Bloodstained,Ixalan,12,0,0.00,0.50,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/bishop_of_the_bloodstained/1534533,,"",B075QMRTY2,0.00,"",0.005,"",4,,false
Adanto Vanguard,Ixalan,6,0,0.00,0.50,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/adanto_vanguard/1534543,,,B075QN33NM,0.00,"",0.005,"",4,,false
Captivating Crew,Ixalan,22,0,0.00,0.99,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/captivating_crew/1534553,,,B075QMPDXZ,0.00,"",0.005,"",4,,false
Charging Monstrosaur,Ixalan,3,0,0.00,0.50,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/charging_monstrosaur/1534563,,,B075QMRDRM,0.00,"",0.005,"",4,,false
Bishop of the Bloodstained - Foil,Ixalan,2,0,0.00,0.75,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/bishop_of_the_bloodstained__foil/1534573,,"",B075QN8LMF,0.00,"",0.005,"",4,,false
Adanto Vanguard - Foil,Ixalan,1,0,0.00,0.99,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/adanto_vanguard__foil/1534583,,,B075QMHDJM,0.00,"",0.005,"",4,,false
Captivating Crew - Foil,Ixalan,2,0,0.00,1.49,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/captivating_crew__foil/1534593,,,B075QMPF86,0.00,"",0.005,"",4,,false
Charging Monstrosaur - Foil,Ixalan,0,0,0.00,0.99,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/charging_monstrosaur__foil/1534603,,,B075QM29X1,0.00,"",0.005,"",4,,false
Air Elemental,Ixalan,19,0,0.00,0.50,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/air_elemental/1534613,,,B075RGN1BX,0.00,"",0.005,"",4,,false
Ancient Brontodon,Ixalan,60,0,0.00,0.25,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/ancient_brontodon/1534623,,,B075RGMPHY,0.00,"",0.005,"",4,,false
Anointed Deacon,Ixalan,60,0,0.00,0.25,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/anointed_deacon/1534633,,,B075RGRNPF,0.00,"",0.005,"",4,,false
